asset_id,face_value,recovery_anchor,sector,currency
AST_001,1000000,0.18,Energy,USD
AST_002,850000,0.12,Industrials,USD
AST_003,1200000,0.22,Healthcare,EUR
AST_004,950000,0.09,Technology,USD
AST_005,1400000,0.30,Energy,GBP
AST_006,700000,0.08,Industrials,EUR
AST_007,1100000,0.19,Healthcare,USD
AST_008,980000,0.14,Technology,EUR
AST_009,1600000,0.27,Energy,USD
AST_010,730000,0.05,Industrials,GBP
AST_011,1250000,0.24,Healthcare,EUR
AST_012,890000,0.11,Technology,USD
AST_013,1010000,0.16,Energy,EUR
AST_014,1340000,0.33,Industrials,USD
AST_015,920000,0.21,Healthcare,GBP
AST_016,1430000,0.28,Technology,EUR
AST_017,1150000,0.13,Energy,USD
AST_018,790000,0.07,Industrials,EUR
AST_019,970000,0.17,Healthcare,USD
AST_020,1080000,0.26,Technology,GBP
