# This register extends the Control Rationale Crosswalk by capturing implementation status, evidence, and coverage gaps. It is not a control definition source.
Control_ID,SIRA_Component,Control_Reference,Control_Description,Evidence_Type,Coverage_Assessment,Gap_Flag,Notes,Linked_Crosswalk_Ref
CTRL-001,config/sira.toml,Model Development-Change Control,Centralized declaration of scenario/distribution/signal parameters with controlled updates and reproducible intent register,Configuration baseline + git history,PARTIAL,OPERATOR_DEPENDENT,Architecture centralizes parameter control but approval workflow and signatory controls are operator-managed,Deterministic seed/config-driven scenarios
CTRL-002,config/sira.toml,CC8.1 Change Management,Parameter changes are isolated to TOML and can be reviewed as discrete configuration diffs,Versioned config diff evidence,PARTIAL,OPERATOR_DEPENDENT,Supports traceability; formal change authorization requires external process,XSD-validated configuration as control boundary
CTRL-003,scripts/00_env_check.R,Application Control + Patch/Version Discipline,Preflight enforces runtime prerequisites and config parseability before execution to reduce uncontrolled runtime variance,Pre-execution check logs,PARTIAL,OPERATOR_DEPENDENT,No centralized endpoint attestation in-repo,Runtime env/data preflight in SIRA
CTRL-004,scripts/00_env_check.R,ISM-1486/ISM-1544 (System Hardening and Verification),Environment and dependency validation prior to analytical execution supports controlled operating baseline,Runtime validation output,FULL,NO,Control objective met within local execution boundary,Rootless Podman with hard security flags
CTRL-005,scripts/02_analysis.R (Beta distribution logic),LGD Estimation Governance,Bounded recovery modelling with scenario-specific Beta parameters provides stress-LGD proxy inputs without IRB equivalence claim,Model logic review + scenario output evidence,DECLARED_LIMITATION,NO,Explicit non-goal prevents misclassification as IRB capital model,Stochastic invalidation stress layer
CTRL-006,scripts/02_analysis.R (Beta distribution logic),Outcomes Analysis and Ongoing Monitoring,Beta parameterized stress engine is deterministic under CFG runtime seed and auditable at run level,Reproducible run logs + seeded outputs,PARTIAL,OPERATOR_DEPENDENT,Formal validation testing and challenger benchmarking not yet codified,Deterministic seed/config-driven scenarios
CTRL-007,scripts/02_analysis.R (Power Law logic),Stress Calibration and Tail Risk Capture,Power-law tail construction addresses non-linear jump risk under counterparty and hyperinflation scenarios,Scenario tail-behaviour evidence,PARTIAL,OPERATOR_DEPENDENT,Requires operator-owned empirical calibration justification,Stochastic invalidation stress layer
CTRL-008,scripts/03_visualize.R output,Accuracy and Integrity of Risk Data Aggregation,Risk signal aggregation by scenario with deterministic ordering and standardized summary table generation,Generated chart + terminal summary table,FULL,NO,Output integrity is machine reproducible from identical inputs and seed,Deterministic seed/config-driven scenarios
CTRL-009,run_all.R orchestration,CC7.2 Monitoring and Exception Handling,Ordered stage execution with fail-fast error handling and explicit success/failure runtime emission,Pipeline execution logs,FULL,NO,Meets pipeline integrity objective for local batch execution,Single dispatch entrypoint
CTRL-010,Synthetic fallback (deterministic seed),Input Data Integrity and Lineage Disclosure,Deterministic synthetic fallback ensures continuity while preserving explicit data mode metadata for lineage visibility,Metadata record + runtime data mode output,FULL,NO,"Governed manifest, lineage, and hash controls prevent silent synthetic fallback for live data conditions within repository boundary",Manifest + lineage registry
CTRL-011,SELL/HOLD signal output,Use Test and Governance Boundary,Signal is pre-trade analytical triage output and not an automated execution or regulatory capital decision engine,Signal logic + non-goals register,DECLARED_LIMITATION,NO,Must remain subordinate to instrument-level credit analysis and policy controls,Non-goals register
CTRL-012,Non-goals register,Model Boundary and Intended Use Documentation,Explicit documentation of non-claims constrains misuse and supports inventory classification and governance review,README non-goals section,FULL,NO,Provides enforceable boundary conditions for model risk committees,Non-goals register
CTRL-013,Air-gap compatibility,Operational Resilience/Recovery Preparedness,No external network dependency at runtime supports continuity in disconnected environments,Runtime dependency manifest + offline execution evidence,PARTIAL,OPERATOR_DEPENDENT,Validated runtime manifest custody and release governance are external,Manifest + lineage registry
CTRL-014,Air-gap compatibility,ISM-0604/ISM-1148 (Network Isolation and Continuity),Terminal-native offline operation aligns with isolated environment execution requirements,Offline run evidence,PARTIAL,OPERATOR_DEPENDENT,Control satisfaction depends on operator enclave configuration,Rootless Podman with hard security flags
CTRL-015,run_all.R orchestration,CC6.6 Logical and Procedural Access to Change Execution,Single entry-point run orchestration limits ad hoc stage bypass and supports controlled execution path,Entrypoint script + invocation records,PARTIAL,OPERATOR_DEPENDENT,Access controls around execution host are outside repository scope,Single dispatch entrypoint
CTRL-016,scripts/02_analysis.R (Power Law logic),Non-Modellable Risk Factor Stress Capture,Jump-risk oriented stress regime supports severe tail scenario evaluation where linear assumptions understate risk,Scenario-level signal and ruin-flag outputs,PARTIAL,OPERATOR_DEPENDENT,Formal linkage to desk-level FRTB governance requires operator framework mapping,Stochastic invalidation stress layer
CTRL-017,scripts/10_liability_engine.R,Assumption Governance and Liability Boundary Control,Liability stack assumptions are TOML-governed and explicitly stress-adjusted under hyperinflation to surface headroom breach risk,Config diffs + deterministic run output,PARTIAL,OPERATOR_DEPENDENT,Requires documented owner and approval process for payout-rate and inflation assumptions,Stochastic invalidation stress layer
CTRL-018,scripts/11_credit_deployment.R,Income-vs-Loss Stress Transparency,Spread engine computes gross and default-adjusted net income with scenario LGD proxy linkage while preserving non-IRB positioning,Scenario-level spread output + seeded reproducibility evidence,DECLARED_LIMITATION,NO,Analytical stress layer only and not insurer/regulatory capital output,Stochastic invalidation stress layer
CTRL-019,scripts/12_spread_stress.R,Risk Aggregation and State Classification Integrity,Cross-scenario aggregation emits deterministic SOLVENT/WATCH/BREACH states with worst-case identification and headroom summaries,Machine-generated aggregate table + metadata artifact,FULL,NO,Aggregation logic and signal counts are reproducible from fixed config+seed,Deterministic seed/config-driven scenarios
