Control_ID,Control_Name,System_Component,Control_Reference,Control_Description,Evidence,Coverage,Gap,Operator_Dependency,Linked_Rationale_Ref
CTRL-001,Model Development-Change Control,config/sira.toml,Model Development-Change Control,Centralized declaration of scenario/distribution/signal parameters with controlled updates and reproducible intent register,Configuration baseline + git history,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-001
CTRL-002,CC8.1 Change Management,config/sira.toml,CC8.1 Change Management,Parameter changes are isolated to TOML and can be reviewed as discrete configuration diffs,Versioned config diff evidence,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-002
CTRL-003,Application Control + Patch/Version Discipline,scripts/00_env_check.R,Application Control + Patch/Version Discipline,Preflight enforces runtime prerequisites and config parseability before execution to reduce uncontrolled runtime variance,Pre-execution check logs,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-003
CTRL-004,ISM-1486/ISM-1544 (System Hardening and Verification),scripts/00_env_check.R,ISM-1486/ISM-1544 (System Hardening and Verification),Environment and dependency validation prior to analytical execution supports controlled operating baseline,Runtime validation output,FULL,NO,NO,RAT-004
CTRL-005,LGD Estimation Governance,scripts/02_analysis.R (Beta distribution logic),LGD Estimation Governance,Bounded recovery modelling with scenario-specific Beta parameters provides stress-LGD proxy inputs without IRB equivalence claim,Model logic review + scenario output evidence,DECLARED_LIMITATION,NO,NO,RAT-005
CTRL-006,Outcomes Analysis and Ongoing Monitoring,scripts/02_analysis.R (Beta distribution logic),Outcomes Analysis and Ongoing Monitoring,Beta parameterized stress engine is deterministic under CFG runtime seed and auditable at run level,Reproducible run logs + seeded outputs,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-001
CTRL-007,Stress Calibration and Tail Risk Capture,scripts/02_analysis.R (Power Law logic),Stress Calibration and Tail Risk Capture,Power-law tail construction addresses non-linear jump risk under counterparty and hyperinflation scenarios,Scenario tail-behaviour evidence,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-005
CTRL-008,Accuracy and Integrity of Risk Data Aggregation,scripts/03_visualize.R output,Accuracy and Integrity of Risk Data Aggregation,Risk signal aggregation by scenario with deterministic ordering and standardized summary table generation,Generated chart + terminal summary table,FULL,NO,NO,RAT-001
CTRL-009,CC7.2 Monitoring and Exception Handling,run_all.R orchestration,CC7.2 Monitoring and Exception Handling,Ordered stage execution with fail-fast error handling and explicit success/failure runtime emission,Pipeline execution logs,FULL,NO,NO,RAT-006
CTRL-010,Input Data Integrity and Lineage Disclosure,Synthetic fallback (deterministic seed),Input Data Integrity and Lineage Disclosure,Deterministic synthetic fallback ensures continuity while preserving explicit data mode metadata for lineage visibility,Metadata record + runtime data mode output,FULL,NO,NO,RAT-007
CTRL-011,Use Test and Governance Boundary,SELL/HOLD signal output,Use Test and Governance Boundary,Signal is pre-trade analytical triage output and not an automated execution or regulatory capital decision engine,Signal logic + non-goals register,DECLARED_LIMITATION,NO,NO,RAT-008
CTRL-012,Model Boundary and Intended Use Documentation,Non-goals register,Model Boundary and Intended Use Documentation,Explicit documentation of non-claims constrains misuse and supports inventory classification and governance review,README non-goals section,FULL,NO,NO,RAT-008
CTRL-013,Operational Resilience/Recovery Preparedness,Air-gap compatibility,Operational Resilience/Recovery Preparedness,No external network dependency at runtime supports continuity in disconnected environments,Runtime dependency manifest + offline execution evidence,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-007
CTRL-014,ISM-0604/ISM-1148 (Network Isolation and Continuity),Air-gap compatibility,ISM-0604/ISM-1148 (Network Isolation and Continuity),Terminal-native offline operation aligns with isolated environment execution requirements,Offline run evidence,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-004
