asset_id,face_value,recovery_anchor,sector,currency
AST_001,1000000,0.42,Energy,USD
AST_002,850000,0.48,Industrials,USD
AST_003,1200000,0.55,Healthcare,EUR
AST_004,950000,0.39,Technology,USD
AST_005,1400000,0.62,Energy,GBP
AST_006,700000,0.33,Industrials,EUR
AST_007,1100000,0.51,Healthcare,USD
AST_008,980000,0.44,Technology,EUR
AST_009,1600000,0.69,Energy,USD
AST_010,730000,0.29,Industrials,GBP
AST_011,1250000,0.58,Healthcare,EUR
AST_012,890000,0.47,Technology,USD
AST_013,1010000,0.36,Energy,EUR
AST_014,1340000,0.64,Industrials,USD
AST_015,920000,0.53,Healthcare,GBP
AST_016,1430000,0.72,Technology,EUR
AST_017,1150000,0.41,Energy,USD
AST_018,790000,0.27,Industrials,EUR
AST_019,970000,0.49,Healthcare,USD
AST_020,1080000,0.57,Technology,GBP
