SIRA_Component,Control_Framework,Control_Reference,Control_Description,Evidence_Type,Coverage_Assessment,Gap_Flag,Notes
config/sira.toml,SR 11-7,Model Development-Change Control,Centralized declaration of scenario/distribution/signal parameters with controlled updates and reproducible intent register,Configuration baseline + git history,PARTIAL,OPERATOR_DEPENDENT,Architecture centralizes parameter control but approval workflow and signatory controls are operator-managed
config/sira.toml,SOC 2,CC8.1 Change Management,Parameter changes are isolated to TOML and can be reviewed as discrete configuration diffs,Versioned config diff evidence,PARTIAL,OPERATOR_DEPENDENT,Supports traceability; formal change authorization requires external process
scripts/00_env_check.R,Essential Eight ML4,Application Control + Patch/Version Discipline,Preflight enforces runtime prerequisites and config parseability before execution to reduce uncontrolled runtime variance,Pre-execution check logs,PARTIAL,OPERATOR_DEPENDENT,No centralized endpoint attestation in-repo
scripts/00_env_check.R,ISM,ISM-1486/ISM-1544 (System Hardening and Verification),Environment and dependency validation prior to analytical execution supports controlled operating baseline,Runtime validation output,FULL,NO,Control objective met within local execution boundary
scripts/02_analysis.R (Beta distribution logic),Basel III IRB,LGD Estimation Governance,Bounded recovery modelling with scenario-specific Beta parameters provides stress-LGD proxy inputs without IRB equivalence claim,Model logic review + scenario output evidence,DECLARED_LIMITATION,NO,Explicit non-goal prevents misclassification as IRB capital model
scripts/02_analysis.R (Beta distribution logic),SR 11-7,Outcomes Analysis and Ongoing Monitoring,Beta parameterized stress engine is deterministic under CFG runtime seed and auditable at run level,Reproducible run logs + seeded outputs,PARTIAL,OPERATOR_DEPENDENT,Formal validation testing and challenger benchmarking not yet codified
scripts/02_analysis.R (Power Law logic),FRTB Article 325,Stress Calibration and Tail Risk Capture,Power-law tail construction addresses non-linear jump risk under counterparty and hyperinflation scenarios,Scenario tail-behaviour evidence,PARTIAL,OPERATOR_DEPENDENT,Requires operator-owned empirical calibration justification
scripts/03_visualize.R output,BCBS 239 Principle 6,Accuracy and Integrity of Risk Data Aggregation,Risk signal aggregation by scenario with deterministic ordering and standardized summary table generation,Generated chart + terminal summary table,FULL,NO,Output integrity is machine reproducible from identical inputs and seed
run_all.R orchestration,SOC 2,CC7.2 Monitoring and Exception Handling,Ordered stage execution with fail-fast error handling and explicit success/failure runtime emission,Pipeline execution logs,FULL,NO,Meets pipeline integrity objective for local batch execution
Synthetic fallback (deterministic seed),BCBS 239 Principle 6,Input Data Integrity and Lineage Disclosure,Deterministic synthetic fallback ensures continuity while preserving explicit data mode metadata for lineage visibility,Metadata record + runtime data mode output,PARTIAL,OPERATOR_DEPENDENT,Live decision usage requires operator disclosure and approval controls
SELL/HOLD signal output,Basel III IRB,Use Test and Governance Boundary,Signal is pre-trade analytical triage output and not an automated execution or regulatory capital decision engine,Signal logic + non-goals register,DECLARED_LIMITATION,NO,Must remain subordinate to instrument-level credit analysis and policy controls
Non-goals register,SR 11-7,Model Boundary and Intended Use Documentation,Explicit documentation of non-claims constrains misuse and supports inventory classification and governance review,README non-goals section,FULL,NO,Provides enforceable boundary conditions for model risk committees
Air-gap compatibility,Essential Eight ML4,Operational Resilience/Recovery Preparedness,No external network dependency at runtime supports continuity in disconnected environments,Runtime dependency manifest + offline execution evidence,PARTIAL,OPERATOR_DEPENDENT,Validated runtime manifest custody and release governance are external
Air-gap compatibility,ISM,ISM-0604/ISM-1148 (Network Isolation and Continuity),Terminal-native offline operation aligns with isolated environment execution requirements,Offline run evidence,PARTIAL,OPERATOR_DEPENDENT,Control satisfaction depends on operator enclave configuration
run_all.R orchestration,SOC 2,CC6.6 Logical and Procedural Access to Change Execution,Single entry-point run orchestration limits ad hoc stage bypass and supports controlled execution path,Entrypoint script + invocation records,PARTIAL,OPERATOR_DEPENDENT,Access controls around execution host are outside repository scope
scripts/02_analysis.R (Power Law logic),FRTB Article 325,Non-Modellable Risk Factor Stress Capture,Jump-risk oriented stress regime supports severe tail scenario evaluation where linear assumptions understate risk,Scenario-level signal and ruin-flag outputs,PARTIAL,OPERATOR_DEPENDENT,Formal linkage to desk-level FRTB governance requires operator framework mapping
